code,system
M35.1,icd10
M16.0,icd10
M15.0,icd10
M18.5,icd10
M18.4,icd10
M17,icd10
M19,icd10
M18.0,icd10
M17.0,icd10
M18.1,icd10
M16,icd10
M19.0,icd10
M16.3,icd10
M84.1,icd10
M18,icd10
M18.9,icd10
M19.2,icd10
M16.1,icd10
M19.8,icd10
M17.9,icd10
M16.7,icd10
M17.4,icd10
M15.4,icd10
M16.6,icd10
M17.5,icd10
M17.1,icd10
M16.9,icd10
M19.9,icd10
M77.4,icd10
M77.5,icd10
M10.3,icd10
M77.3,icd10
M89.2,icd10
M89.0,icd10
M89.5,icd10
M89.1,icd10
M10.1,icd10
M89,icd10
M32,icd10
M70.0,icd10
M77.2,icd10
M21.3,icd10
M14.4,icd10
M73.8,icd10
M49.8,icd10
M46.1,icd10
M63,icd10
M21.1,icd10
M09.0,icd10
M79,icd10
M90.3,icd10
M84.4,icd10
M62.5,icd10
M90.6,icd10
M09.8,icd10
M79.9,icd10
M90.2,icd10
M53.8,icd10
M99.1,icd10
M09,icd10
M73.1,icd10
M53.0,icd10
M49.1,icd10
M79.8,icd10
M72.5,icd10
M99.8,icd10
M79.2,icd10
M99.9,icd10
M79.4,icd10
M25.0,icd10
M90.1,icd10
M90.5,icd10
M14.3,icd10
M90.8,icd10
M82.8,icd10
M53.2,icd10
M90,icd10
M53.1,icd10
M03.6,icd10
M63.8,icd10
M99.0,icd10
M73,icd10
M14.1,icd10
M25.2,icd10
M99.4,icd10
M53.3,icd10
M25.9,icd10
M84.3,icd10
M25.3,icd10
M63.0,icd10
M63.3,icd10
M14.8,icd10
M73.0,icd10
M63.1,icd10
M24.8,icd10
M79.6,icd10
M49.2,icd10
M13.1,icd10
M25.5,icd10
M25.1,icd10
M71.5,icd10
M14,icd10
M14.2,icd10
M79.3,icd10
M49,icd10
M77.8,icd10
M53.9,icd10
M25,icd10
M63.2,icd10
M82,icd10
M12.8,icd10
M14.0,icd10
M25.6,icd10
M99,icd10
M25.8,icd10
M99.2,icd10
M53,icd10
M90.4,icd10
M25.7,icd10
M90.7,icd10
M47.2,icd10
M54.1,icd10
M50.1,icd10
M77.1,icd10
M77.0,icd10
M72.2,icd10
M72.0,icd10
M61.2,icd10
M61,icd10
M61.4,icd10
M65.2,icd10
M61.5,icd10
M75.3,icd10
M61.3,icd10
M61.9,icd10
M65.3,icd10
M23.1,icd10
M23.3,icd10
M23.0,icd10
M23.2,icd10
M66.5,icd10
M66.4,icd10
M66.1,icd10
M66.2,icd10
M66,icd10
M66.3,icd10
M00.0,icd10
M05,icd10
M08.2,icd10
M08.4,icd10
M00,icd10
M13.8,icd10
M06.1,icd10
M08,icd10
M07.1,icd10
M05.8,icd10
M08.9,icd10
M06.8,icd10
M08.0,icd10
M06.2,icd10
M13,icd10
M13.0,icd10
M06,icd10
M00.2,icd10
M06.9,icd10
M05.9,icd10
M05.0,icd10
M13.9,icd10
M05.1,icd10
M00.1,icd10
M00.9,icd10
M06.3,icd10
M06.4,icd10
M05.2,icd10
M06.0,icd10
M08.8,icd10
M08.3,icd10
M96.0,icd10
M96.3,icd10
M96,icd10
M24.3,icd10
M96.4,icd10
M96.1,icd10
M96.9,icd10
M96.6,icd10
M96.8,icd10
M12.3,icd10
M79.0,icd10
M48.2,icd10
M42.1,icd10
M54.6,icd10
M42.0,icd10
M47,icd10
M47.9,icd10
M47.8,icd10
M43.0,icd10
M10.4,icd10
M41.5,icd10
M87.3,icd10
M99.3,icd10
M86,icd10
M86.8,icd10
M86.9,icd10
M84.0,icd10
M84.8,icd10
M84.9,icd10
M84,icd10
M84.2,icd10
M87.1,icd10
M32.0,icd10
M83.5,icd10
M34.2,icd10
M80.4,icd10
M81.4,icd10
M10.2,icd10
M93.1,icd10
M93.2,icd10
M93.9,icd10
M93,icd10
M93.8,icd10
M62.4,icd10
M67.1,icd10
M24.5,icd10
M22.0,icd10
M24.4,icd10
M65.4,icd10
M50.3,icd10
M65,icd10
M65.8,icd10
M67.3,icd10
M65.9,icd10
M12.2,icd10
M88.9,icd10
M88,icd10
M88.8,icd10
M30.0,icd10
M95.0,icd10
M95.1,icd10
M30.3,icd10
M95.5,icd10
M30,icd10
M95.8,icd10
M95.2,icd10
M30.2,icd10
M30.8,icd10
M95.4,icd10
M31.6,icd10
M95.9,icd10
M95,icd10
M95.3,icd10
M30.1,icd10
M70.9,icd10
M43.2,icd10
M25.4,icd10
M70.2,icd10
M70.7,icd10
M70,icd10
M70.4,icd10
M70.6,icd10
M70.3,icd10
M70.5,icd10
M70.1,icd10
M70.8,icd10
M40.0,icd10
M40.4,icd10
M40.2,icd10
M40.3,icd10
M40.1,icd10
M40.5,icd10
M40,icd10
M85.5,icd10
M85.4,icd10
M85.1,icd10
M85,icd10
M85.8,icd10
M85.6,icd10
M85.9,icd10
M43.1,icd10
M43.9,icd10
M43.8,icd10
M43,icd10
M43.6,icd10
M33,icd10
M60,icd10
M33.9,icd10
M60.9,icd10
M36.0,icd10
M60.8,icd10
M33.1,icd10
M33.2,icd10
M60.1,icd10
M60.0,icd10
M33.0,icd10
M50.0,icd10
M47.1,icd10
M09.2,icd10
M07.5,icd10
M54.3,icd10
M54.4,icd10
M75,icd10
M75.0,icd10
M75.9,icd10
M75.1,icd10
M75.8,icd10
M75.4,icd10
M80,icd10
M80.8,icd10
M81.6,icd10
M81,icd10
M81.8,icd10
M71.8,icd10
M71,icd10
M71.9,icd10
M67.9,icd10
M67,icd10
M67.4,icd10
M07.4,icd10
M09.1,icd10
M01.2,icd10
M01,icd10
M01.5,icd10
M49.3,icd10
M01.8,icd10
M01.0,icd10
M51.2,icd10
M01.3,icd10
M01.4,icd10
M68,icd10
M01.1,icd10
M01.6,icd10
M68.8,icd10
M50.2,icd10
M68.0,icd10
M35.0,icd10
M35.2,icd10
M35.9,icd10
M35,icd10
M35.8,icd10
M35.7,icd10
M07.2,icd10
M20.0,icd10
M20.2,icd10
M20.1,icd10
M20.5,icd10
M20.6,icd10
M48.1,icd10
M20,icd10
M20.3,icd10
M20.4,icd10
M11.8,icd10
M11.9,icd10
M11,icd10
M11.0,icd10
M62.9,icd10
M92.9,icd10
M81.9,icd10
M21.9,icd10
M32.9,icd10
M48.9,icd10
M80.9,icd10
M10.9,icd10
M89.9,icd10
M77.9,icd10
M79.1,icd10
M72,icd10
M72.9,icd10
M72.1,icd10
M72.8,icd10
M62,icd10
M62.6,icd10
M62.0,icd10
M62.2,icd10
M62.3,icd10
M36.1,icd10
M24.2,icd10
M23.6,icd10
M15,icd10
M15.1,icd10
M15.2,icd10
M15.9,icd10
M15.8,icd10
M76.6,icd10
M67.0,icd10
M91.2,icd10
M91,icd10
M91.3,icd10
M91.1,icd10
M91.8,icd10
M91.0,icd10
M91.9,icd10
M83.0,icd10
M83.3,icd10
M83.4,icd10
M83.8,icd10
M83.1,icd10
M83.9,icd10
M83,icd10
M36.8,icd10
M94.8,icd10
M94.0,icd10
M94.9,icd10
M94.3,icd10
M94,icd10
M24.1,icd10
M21,icd10
M21.4,icd10
M21.2,icd10
M21.7,icd10
M21.6,icd10
M21.5,icd10
M89.4,icd10
M89.3,icd10
M65.1,icd10
M03.1,icd10
M03,icd10
M71.1,icd10
M46.5,icd10
M03.2,icd10
M03.0,icd10
M89.6,icd10
M80.3,icd10
M49.4,icd10
M14.6,icd10
M99.5,icd10
M48.4,icd10
M51.1,icd10
M51.9,icd10
M48.5,icd10
M51.8,icd10
M46.3,icd10
M47.0,icd10
M49.5,icd10
M43.5,icd10
M51.0,icd10
M51.3,icd10
M51.4,icd10
M51,icd10
M46.2,icd10
M31.1,icd10
M31,icd10
M31.4,icd10
M31.8,icd10
M31.9,icd10
M08.1,icd10
M45.X,icd10
M45,icd10
M24.6,icd10
M72.4,icd10
M92.1,icd10
M92.0,icd10
M92.2,icd10
M92.6,icd10
M92.5,icd10
M92.7,icd10
M92,icd10
M86.5,icd10
M42.9,icd10
M42,icd10
M46.0,icd10
M02.2,icd10
M02.3,icd10
M02,icd10
M02.9,icd10
M02.8,icd10
M02.0,icd10
M02.1,icd10
M43.4,icd10
M43.3,icd10
M86.2,icd10
M86.1,icd10
M86.0,icd10
M54.9,icd10
M54.5,icd10
M54.2,icd10
M54.8,icd10
M54,icd10
M87.0,icd10
M41.1,icd10
M41.2,icd10
M81.5,icd10
M41.0,icd10
M10.0,icd10
M80.5,icd10
M19.1,icd10
M12.5,icd10
M87.2,icd10
M17.2,icd10
M17.3,icd10
M16.5,icd10
M16.4,icd10
M18.2,icd10
M48.3,icd10
M18.3,icd10
M81.1,icd10
M80.1,icd10
M71.0,icd10
M71.4,icd10
M71.3,icd10
M87.8,icd10
M87.9,icd10
M87,icd10
M22.3,icd10
M22.8,icd10
M22,icd10
M22.2,icd10
M22.9,icd10
M92.4,icd10
M,icd10
M36.3,icd10
M36,icd10
M36.2,icd10
M31.2,icd10
M31.3,icd10
M49.0,icd10
M90.0,icd10
M48.0,icd10
M89.8,icd10
M12.1,icd10
M48.8,icd10
M67.8,icd10
M12,icd10
M24.7,icd10
M24.9,icd10
M62.8,icd10
M21.8,icd10
M92.8,icd10
M24,icd10
M12.4,icd10
M80.0,icd10
M81.0,icd10
M05.3,icd10
M32.1,icd10
M82.0,icd10
M15.3,icd10
M83.2,icd10
M81.3,icd10
M41.8,icd10
M32.8,icd10
M34.8,icd10
M46,icd10
M46.8,icd10
M46.4,icd10
M46.9,icd10
M81.2,icd10
M80.2,icd10
M72.3,icd10
M35.4,icd10
M23,icd10
M23.9,icd10
M23.8,icd10
M96.2,icd10
M96.5,icd10
M94.1,icd10
M35.6,icd10
M50.8,icd10
M50,icd10
M50.9,icd10
M65.0,icd10
M34,icd10
M34.9,icd10
M34.0,icd10
M34.1,icd10
M76.2,icd10
M76,icd10
M76.9,icd10
M76.8,icd10
M76.3,icd10
M76.4,icd10
M41.9,icd10
M41,icd10
M41.3,icd10
M41.4,icd10
M00.8,icd10
M75.5,icd10
M07,icd10
M07.0,icd10
M07.6,icd10
M07.3,icd10
M76.5,icd10
M75.2,icd10
M76.1,icd10
M76.7,icd10
M76.0,icd10
M85.0,icd10
M16.2,icd10
M94.2,icd10
M22.4,icd10
M10,icd10
M86.3,icd10
M35.5,icd10
M54.0,icd10
M82.1,icd10
M14.5,icd10
M67.2,icd10
M79.5,icd10
M60.2,icd10
M31.5,icd10
M35.3,icd10
M61.1,icd10
M61.0,icd10
M77,icd10
M12.0,icd10
M86.4,icd10
M86.6,icd10
M99.6,icd10
M99.7,icd10
M11.2,icd10
M11.1,icd10
M71.2,icd10
M66.0,icd10
M93.0,icd10
M92.3,icd10
M48,icd10
M22.1,icd10
M85.3,icd10
M24.0,icd10
M23.4,icd10
M21.0,icd10
M62.1,icd10
M31.0,icd10
M36.4,icd10
M88.0,icd10
M85.2,icd10
M23.5,icd10
